,time,location,operator,route,aircraft_type,aboard,fatalities,description,month,year,day,latitude,longitude
2556,08:10,"Milan, Italy",Scandinavian Airlines (SAS) / Private,Milan - Copenhagen / Milan - Paris,MD-87 / Cessna 525A Citation II,114   (passengers:106  crew:8),114   (passengers:106  crew:8),"The MD-87 aircraft was taking off from Linate Airport in fog and poor visibility when it struck a German Cessna Citation II business jet. The MD-87 rotated for takeoff and did make it into the air for 9 seconds, but was too damaged to sustain flight. The plane then swerved off the runway and  collided with the airport's baggage handling building, bursting into flames. The Cessna,  which was about to take off for Paris, entered the active runway by mistake, after  having been told by the tower to enter a different taxiway and hold short of the runway. One hundred four passengers and 6 crew on the MD-87 and  2 passengers and 2 crew on the Citation were killed along with 4 on the ground. The MD-87 was named Lage Viking.  Caused largely by human error and poorly followed safety procedures and improper terminology used by the tower. Communication between the aircraft and the tower had been ""in English and Italian,"" as opposed to aviation standards that only English be spoken. In addition, despite the poor visibility and inadequately marked airport landmarks, the control tower operators failed to ask the Cessna to read back his instructions to make sure they were understood. There was no ground radar, runway motion sensors were turned off and it took 20 minutes before anyone realized the two planes had collided.",October,2001,8,45.4667971,9.1904984
1701,c 15:20,"Lubango, Huila, Angola",TAAG Angola Airlines,Lubango - Luanda,Boeing B-737-200,130   (passengers:126  crew:4),130   (passengers:126  crew:4),The airliner crashed immediately after takeoff.  Shot down by rebels with a surface to air missile.,November,1983,8,-14.9195371,13.4898109
2663,21:25,"Off Waikanae, New Zealand",Air Freight New Zealand,Christchurch - Palmerston North,Convair CV-580F,2   (passengers:0  crew:2),2   (passengers:0  crew:2),"While at crusing altitude, one hour after taking off, the aircraft suddenly exploded in midair for unknown reasons.",October,2003,3,-40.8758432,175.0643045
1005,17:58,"Dublin, Ireland",Aer Turas,Glasgow - Dublin,Bristol 170 Freighter 31E,2   (passengers:0  crew:2),2   (passengers:0  crew:2),"The pilot attempted an overshoot maneuver, following the stoppage of the port engine, at too low a speed (below the minimum control speed) resulting in an uncontrollable turn towards the Airport buildings.",June,1967,12,53.3497645,-6.2602732
1813,12:52,"Salt Lake City, Utah",Skywest Airlines / Private.,Pocatello - Salt Lake City,Swearingen SA-226TC / Mooney M-20C,10   (passengers:8  crew:2),10   (passengers:8  crew:2),"Midair collision with a Mooney M-20 at 7,000 ft. Ten killed on the Swearingen and none on the Mooney.  Procedures and directives not followed by the Mooney pilot. Lack of navigational vigilance by the Mooney instructor pilot which led to the authorized intrusion into the Salt Lake City airport radar service area. Contributing factor was the absence of a Mode-C transponder on the Mooney airplane and the limitations of the air traffic control system to provide collision protection.",January,1987,15,40.7670126,-111.8904308
312,02:40,"Off Dakar, Senegal",British South American Airways,Lisbon - Dakar,Avro 685 York I,15   (passengers:9  crew:6),6   (passengers:6  crew:0),The plane crashed while making a third landing attempt. Unwise decision to try a third landing attempt. No approach lights. No radio facilities.,April,1947,13,14.693425,-17.447938
2252,14:44,"Near Petropavlovsk, Russia",Krasnoyarskie Avialinii,Novosibirsk - Petropavlovsk,Ilyushin IL-76TD,20   (passengers:11  crew:9),20   (passengers:11  crew:9),"The cargo plane, carrying 57 tones of detergent, crashed into a mountain at an altitude of 2,900 feet. The airplane descended through clouds to an altitude of 900m and flew into the side of a mountain, 300m below the summit.",April,1996,5,,
2511,12:22,"Miami, Florida",American Airlines,"Miami, FL - Port au Prince",Airbus A300-600R,114   (passengers:105  crew:9),1   (passengers:0  crew:1),"After climbing through 16,000 ft. the crew descovered cabin pressure could not be maintained and returned to the airport.  After landing the ram air switch failed to depressurize the aircraft. Moments later the left foreward door exploded open ejecting a flight attendant onto the tarmac.",November,2000,20,25.7742658,-80.1936589
655,20:46,"New Bedford, Massachusetts",Northeast Airlines,Martha's Vineyard - New Bedford,Douglas DC-3,24   (passengers:21  crew:3),12   (passengers:10  crew:2),The aircraft struck trees to the right and short of the runway during approach in fog. The pilot attempted to make a visual approach by descending prematurely in the approach area without adherence to the prescribed ILS approach procedure which was dictated by existing weather conditions.,September,1957,15,41.6362152,-70.934205
1180,11:15,"Near Juneau, Alaska",Alaska Airlines,Anchorage - Seattle,Boeing B-727-193,111   (passengers:104  crew:7),111   (passengers:104  crew:7),The aircraft crashed into the slopes of Chikat Mountain in rain and fog while attempting a non-precision instrument landing at Juneau Municipal Airport. Display of misleading navigation information which resulted in the premature descent below obstacle clearance altitude. The crew didn't use all available navaids to check the position of the aircraft.,September,1971,4,,
2472,11:28,"Near Wilkes-Barre, Pennsylvania",Executive Airlines,Atlantic City - Wilkes-Barre,BAe Jetstream 3101-31,19   (passengers:17  crew:2),19   (passengers:17  crew:2),"The plane crashed into a heavily wood area  as it was making a second approach to Wilkes-Barre/Scranton International Airport. Visibility was poor in wind, low clouds and light rain.  While attempting the second approach, the pilot reported both engines had quit but restarted one of them before the plane crashed. Investigation revealed indications of rotation on the left engine at the time of impact but the power level was not known. The right engine and propellers exhibited little or no rotation at the time of impact. Failure of the crew to ensure an adequate supply of fuel for the flight, which led to the stoppage of the right engine due to fuel exhaustion and the intermittent stoppage of the left engine.  Failure of the crew to monitor the plane's fuel state and the flightcrews failure to maintain directional control after the initial stoppage.",May,2000,21,,
1625,16:22,"Ust-Barguzin, Russia",Aeroflot,Ulan - Severomuysk,Ilyushin Il-14,48   (passengers:44  crew:4),48   (passengers:44  crew:4),The crew informed ATC they could see the field but crashed 30 km from the airport.,June,1981,14,53.40831,109.032768
1760,18:56,"Mt. Osutaka, near Ueno Village, Japan",Japan Air Lines,Tokyo - Osaka,Boeing B-747-SR46,524   (passengers:509  crew:15),520   (passengers:505  crew:15),"The aircraft suffered an aft pressure bulkhead failure at 23,900 ft. The aircraft had severe control difficulties with loss of all controls and eventually after 40 minutes, collided with a mountain. Improper repair of the  bulkhead while being supervised by Boeing engineers after a tail strike in 1978. Worst single plane disaster in aviation history. Kyu Sakamoto, 43, famous for his Japanese song ""Sukiyaki"" was killed in the accident.",August,1985,12,,
2813,11:30,"Near Abuja, Nigeria",ADC Airlines,Lagos - Abuja - Sokoto,Boeing 737-2B7,105   (passengers:100  crew:5),96   (passengers:92  crew:4),The jetliner crashed into a corn field about a mile from the end of the runway while attempting to take off from Abuja. The pilot did not heed air traffic controllers' advice to not depart in stormy weather. The pilots’ incorrect actions stalled the plane.,October,2006,29,,
100,19:10,"Pavillon, New York",American Airlines,"Newwark, N.J. - Buffalo, NY",Stinson Model A,2   (passengers:0  crew:2),2   (passengers:0  crew:2),The mail plane explosion in mid-air before crashing to the ground in a snowstorm.,April,1936,1,40.8168229,-73.9460805
606,10:32,"Grand Canyon, Arizona",United Air Lines / Trans World Airlines,Los Angeles - Chicago / Los Angeles - Kansas City,Douglas DC-7 / Lockheed S Constellation,128   (passengers:117  crew:11),128   (passengers:117  crew:11),"The TWA aircraft flying from Los Angeles to Kansas City and the United Aircraft flying from Los Angeles to Chicago collided over the Grand Canyon. Both planes were traveling about 320 mph. Both aircraft were flying in uncontrolled airspace. All  fifty-eight on the DC-7 and seventy on the Constellation killed. The pilots did not see each other in time to avoid the collision. It is not possible to determine why the pilots did not see each other, but the evidence suggests that it resulted from any one or a combination of the following factors: 1) Intervening clouds reducing time for visual separation 2) Visual limitations due to cockpit visibility 3) Preoccupation with normal cockpit duties. This is the accident that led to the adoption of the Air Route Traffic Centers that track planes across the country and the formation of the FAA.",June,1956,30,36.0965604,-112.0984941
1255,c 09:30,"Kano, Nigeria",Alia Royal Jordanian Airlines,Jeddah - Lagos,Boeing B-707-3D3C,202   (passengers:193  crew:9),176   (passengers:170  crew:6),The landing gear collapsed after hitting a depression in the runway while landing. The aircraft ran off the side of the runway and caught fire.,January,1973,22,11.9918671,8.5303654
2796,18:30,"Abéché, Chad",Military - Chadian Air Force,N'djamena - Abéché,Lockheed C-130 Hercules,7   (passengers:0  crew:7),5   (passengers:0  crew:5),"The military plane crashed into trees past the end of the runway as it tried to land at night at an unlit airport. Chadian rebels however, claim to have shot it down with a surface-to-air missile. The pilot and copilot survived.",June,2006,11,13.8280295,20.8283652
1369,23:00,"Deadhorse, Alaska",Gay Airways - Air Taxi,"Anaktuvak, AK - Deadhorse, AK",Bell 206,4   (passengers:3  crew:1),2   (passengers:2  crew:0),Continued VFR flight into adverse weather. Pilot said gyro not working properly.,April,1975,28,70.2006973,-148.4598151
1605,23:53,"Near Cairo, Egypt",Military - U.S. Air Force,Ramstein AB - Cairo,Lockheed C-141A,13   (passengers:7  crew:6),13   (passengers:7  crew:6),Descended at an excessive sink rate at a banked angle until it crashed to the ground as it prepared to land at Cairo Airport.,November,1980,12,,
3036,11:47,"Near Lutsek'e, NT, Canada",Air Tindi,Yellowknife - Lutsek'e,Cessna 208B Grand Caravan I,4   (passengers:3  crew:1),2   (passengers:1  crew:1),"The plane hit the top of a hill while enroute, approximately 20 nm from Lutsek'e Airport. The pilot and one passenger were killed.",October,2011,4,,
1274,15:29,"Goussainville, France",Aeroflot,Demonstration,Tupolev TU-144,6   (passengers:0  crew:6),6   (passengers:0  crew:6),"During a steep climb at an airshow, the airplane was observed to level off very abruptly and then begin a dive. The plane broke apart and exploded before crashing into a residential area killing 8 people and seriously injuring 60 others. The pilot, possibly startled by a close encounter with a Mirage jet photographing the TU-144, overreacted causing a compressor stall. The aircraft then went into a dive and broke apart after the aircraft's design capacity was exceeded.",June,1973,3,49.0323168,2.4733628
1065,c 12:00,"Maracaibo, Zulia, Venezuela",Venezolana Internacional de Aviacion,Maracaibo - Miami,McDonnell Douglas DC-9-32,84   (passengers:74  crew:10),84   (passengers:74  crew:10),"Seconds after becoming airborne, the aircraft struck electrical power lines and crashed into houses in the La Trinidad section of the city. Takeoff calculations made from erroneous information. Faulty temperature sensor along the runway. San Francisco Giants pitcher Nestor Chavez, 22,  killed.",March,1969,16,10.6412212,-71.6075383
2768,20:40,"Lisa, Nigeria",Bellview Airlines,Lagos - Abuja,Boeing B-737-2L9,117   (passengers:111  crew:6),117   (passengers:111  crew:6),"The tower lost sight and contact with the plane about five minutes after taking off from Murtala Muhammad International  airport. The plane crashed about 30 miles north of Lagos.  A storm was passing through the airport at about the time the aircraft took off. A combination of poor maintenance of the plane by the ground crew together with a lightning strike to the right wing of the plane caused the right engine to ignite, causing the aircraft to bank heavily to the left and eventually lose control.",October,2005,22,12.264895,13.399863
694,17:15,"Guadarrama Mountains, Spain",Aviaco,Vigo - Madrid,SNCASE Languedoc,21   (passengers:16  crew:5),21   (passengers:16  crew:5),Crashed into La Rodilla de la Mujer Muerta while on approach to Madrid. Loss of control due to icing and turbulence.,December,1958,4,,
2343,c 11:00,"Cagyan de Oro, Philippines",Cebu Pacific Air,Tacloban - Cagayan de Oro,McDonnell Douglas DC-9-32,104   (passengers:99  crew:5),104   (passengers:99  crew:5),"Flight 387 originated in Manila on a flight to Tacloban and Cagayan de Oro. The aircraft crashed while on approach to Cagay de Oro into a remote mountainous area.  Wreckage was found near the town of Pagalungan, NE of Cagay de Oro. The last radio message from the pilot was ""leveling off at 5,000 feet sir.""  The cockpit voice recorder revealed that the GPWS warned of terrain a dozen times just before impact. The crew apparently got lost in a cloud, never realizing they were headed into a mountain. Pilot error, inadequate training standards and deficient equipment.",February,1998,2,,
243,10:15,"Near Milne Bay, New Guinea",Military - Royal Australian Air Force,Milne Bay - Dobodura,Douglas C-47A,11   (passengers:7  crew:4),11   (passengers:7  crew:4),Left Milne Bay on routine flight  to Dobodura at 10:15. Crashed into sea near Milne Bay.,September,1945,11,,
941,10:10,Hong Kong,Military - U.S. Marine Corps,Hong Kong - Da Nang,Lockheed KC-130F,72   (passengers:66  crew:6),59   (passengers:57  crew:2),The plane crashed into Kowloon Bay after taking off from Kai Tak Airport. Pilot error. Commander's decision to proceed with the takeoff with only three engines. Failure to feather the non-functioning engine or trim the plane for a 3 engine takeoff. Decision not to abort after directional control was lost.,August,1965,24,22.2793278,114.1628131
3192,0253,"Georgetown, Guyana",Fly Jamaica Airways,Georgetown - Toronto,Boeing 757-N23,128   (passengers:120  crew:8),1   (passengers:1  crew:0),"After taking off and reaching FL200, the crew reported a hydraulic problem and circled back to Georgetown Airport. The aircraft touched down on runway 06 but went off the runway and came to rest against the airport perimeter fence. Six people were injured. One person died of their injuries several days later.",November,2018,6,6.8025766,-58.1628612
105,22:00,"St. Louis, Missouri",Chicago Southern Airlines,New Orleans - Chicago,Lockheed 10B Electra,8   (passengers:6  crew:2),8   (passengers:6  crew:2),"Crashed while attempting to take off from Lambert Field.  The making of a turn at an extremely low altitude, for reasons unknown, in which the wing of the airplane unintentionally contacted the ground.",August,1936,5,38.6272733,-90.1978889
3142,0835,"Mbuji, Congo",Services Air,Lubumbashi - Mbuji-Mayi,Airbus A-310-304F,4   (passengers:0  crew:4),0   (passengers:0  crew:0),"While landing at Mbuji-Mayi Airport, the cargo plane overran the runway and crashed into several houses.",December,2015,24,-6.1212132,23.5690268
568,18:53Z,"Abruzzio Mountains, Italy",Sabena,Brussels - Rome,Douglas DC-6,29   (passengers:21  crew:8),29   (passengers:21  crew:8),Crashed into a mountain while on approach. Navigational error due to failure to use radio equipment.,February,1955,13,,
977,03:15,"Bogota, Colombia",Avianca,Bogota - Barranquilla,Douglas DC-4,2   (passengers:0  crew:2),2   (passengers:0  crew:2),"The cargo plane struck trees at the end of the runway after trying to make an emergency landing. Material failure consisting in fatigue failure of a number of teeth of the pinion of the governor control unit, which was jammed against the rack in the 'up' position and therefore set for maximum rpm, thus causing the engine to overspeed. This would be in keeping with the fact that the dome ring was at maximum low pitch setting, i.e. high rpm and a runway propeller on take-off.",September,1966,22,4.5980772,-74.0761028
2454,15:02,"Near Simara, Nepal",Skyline Airways,Simara - Kathmandu,de Havilland Canada DHC-6 Twin Otter,10   (passengers:7  crew:3),10   (passengers:7  crew:3),The aircraft crashed 5 minutes after taking off from Simara.  The aircraft was observed not following the usual route into the mountains.,December,1999,25,,
294,09:19,"Michigan City, Indiana",American Airlines,Buffalo - Chicago,Douglas DC-3 (C-50A-DO),21   (passengers:18  crew:3),2   (passengers:0  crew:2),Crashed after loosing power in both engines due to fuel starvation. The accumulation of carburetor ice following the loss of power in both engines as a result of fuel starvation. The reason for fuel starvation could not be determined.,December,1946,28,41.7075394,-86.8950297
1128,19:05,"Near Arbucias, Gerona, Spain",Dan Air Services,Manchester - Barcelona,de Havilland Comet 4,112   (passengers:105  crew:7),112   (passengers:105  crew:7),"Due to heavy traffic, the flight was diverted from the planned route. The aircraft failed to follow the assigned airway and crashed into a cloud obscured Montseny Mountain while on approach. The deviation from the assigned airway may have been caused by malfunctioning equipment. In addition, the ATC did not realize the aircraft was deviating from its assigned course.",July,1970,3,,
1961,07:16,"Bogota, Colombia",AVIANCA,Bogota - Cali,Boeing B-727-21,107   (passengers:101  crew:6),107   (passengers:101  crew:6),The plane burst into flames and crashed shortly after taking off from El Dorado Airport. Detonation of an explosive device placed on the floor on the starboard side of the passenger cabin at seat 15F which ignited fuel vapors in an empty fuel tank. The bomb was placed by members of the drug cartel headed by Pablo Escobar in an attempt to kill presidental candidate Cesare Gaviria. He was not aboard the flight.,November,1989,27,4.5980772,-74.0761028
1847,15:10,"Bordeaux, France",Air Littoral,Brussels - Bordeaux,Embraer 120 Brasilia,16   (passengers:13  crew:3),16   (passengers:13  crew:3),Crashed short of the runway and struck trees in fog after being diverted due to the weather.,December,1987,21,44.841225,-0.5800364
859,10:02,"Near Davao City, Philippines",Philippine Air Lines,Cotabato - Davao,Douglas DC-3,27   (passengers:24  crew:3),27   (passengers:24  crew:3),"Crashed into Mt. Boca during descent for landing. Limited visibility, crosswinds contributing to navigational error.",March,1963,2,,
839,06:32,"Yakut, Russia",Aeroflot,Chersky - Bilibino,Aeroflot,32   (passengers:27  crew:5),32   (passengers:27  crew:5),Collided with a mountain while en route. Crew error. Flew below minimums into a cloud covered mountainous area.,September,1962,18,,
1239,c 09:00,Off the Alaska coast,Private,"Anchorage, AK - Juneau, AK",Cessna 310C,4   (passengers:3  crew:1),4   (passengers:3  crew:1),"The plane was on a flight from Anchorage to Juneau when it disappeared as it was approaching the Chugach Mountain range.  The weather along the prescribed route was not condusive to VFR flight.  Louisiana Congressman and House Majority Leader Hale Boggs, Alaska Congressman Nick Begich and his aide killed. Cause unknown.",October,1972,16,-28.0298811,153.4036374
2038,21:56,"Vallejo, California",Corporate Mobility Inc. - Private,"Concord, CA - Novato, CA",Bell 206B helicopter,3   (passengers:2  crew:1),3   (passengers:2  crew:1),"The helicopter struck the top of a 223 foot high transmission tower, crashed and exploded in flames, 27 miles northwest of its departure point in high winds and heavy rain. The pilot's intentional flight into known adverse weather, continued flight into instrument meteorological conditions, and improper altitude.  Rock promoter Bill Graham, 60, was killed.",October,1991,25,38.1040864,-122.2566367
125,c 04:30,Off Western Africa,Air France,Dakar - Casablanca,Dewoitine D-333,6   (passengers:3  crew:3),6   (passengers:3  crew:3),Disappeared after sending a distress call while en route.,October,1937,26,-33.7921749,19.8929785
1374,19:30,"Near Saravena, Colombia",Taxi Aereo El Venado,Cucuta - Tame,Douglas DC-4,3   (passengers:0  crew:3),3   (passengers:0  crew:3),The cargo plane crashed en route.,June,1975,30,,
1063,17:38,"San Juan, Puerto Rico",Prinair,Saint Thomas - San Juan,de Havilland DH-114 Heron 2D,19   (passengers:17  crew:2),19   (passengers:17  crew:2),Crashed into the Sierra de Luquillo mountains. The vectoring of the aircraft by a ATC trainee into mountainous terrain under IFR  conditions without adequate clearance altitude.,March,1969,5,18.22141715,-66.4132818505648
888,02:06,"Lake Pontchartrain, New Orleans, Louisiana",Eastern Air Lines,Mexico City - New Orleans - New York City,McDonnell Douglas DC-8-21,58   (passengers:51  crew:7),58   (passengers:51  crew:7),"The aircraft crashed into Lake Pontchartrain, 19 miles northeast of New Orleans International Airport, shortly after taking off. Mechanical failure. Uncommanded extension of the pitch trim compensator. Degradation of aircraft stability characteristics in turbulence, because of abnormal longitudinal trim component positions.  Malfunctioning pitch trim compensator.",February,1964,25,30.20506325,-90.0967594317491
2124,14:55,"Urumqi, China",China Northern Airlines,Beijing - Urumqi,McDonnell Douglas MD-82,102   (passengers:92  crew:10),12   (passengers:8  crew:4),"The plane crashed short of the runway while landing in dense fog, hitting power lines and a wall. The autopilot disconnected during approach and re-engaged with the vertical speed mode at 800ft/min.",November,1993,13,43.7959127,87.6140244
841,18:30,"Bagotville, Quebec, Canada",Trans Canada Air Lines,Sept-Îles- Bagotville,Vickers 757 Viscount,19   (passengers:15  crew:4),2   (passengers:1  crew:1),"Collided with a RCAF CF-101B Voodoo fighter plane on the runway. The controller having assumed in error that the Viscount was turning off at the high speed taxi strip, cleared the Voodoo aircraft for takeoff before the Viscount was clear of the active runway. The Voodoo collided with the tail of the Viscount, killing a stewardess and one passenger. The Voodoo caught fire but continued to fly. It climbed to 1,200 feet where both crew members ejected safely.",October,1962,10,48.3422655,-70.8857687
226,20:25,"Telemark, Norway",Deutsche Lufthansa,"Berlin, Germany - Oslo, Norway",Junkers JU-52/3m,15   (passengers:12  crew:3),15   (passengers:12  crew:3),Crashed into a mountain in poor weather conditions.,October,1944,16,59.39626765,8.66266000194867
1650,10:30,"Leesburg, Florida",Private,None,Beechcraft Bonanza F35,3   (passengers:2  crew:1),3   (passengers:2  crew:1),"Randy Rhoads, 25, lead guitarist for heavy metal star Ozzy Osbourne was killed when the plane in which he was a passenger crashed into a tour bus and a house. The pilot was attempting to buzz Osbourne's tour bus when after several attempts, the left wing struck the side of the bus puncturing it in two places approximately half way down the right side.  The plane was thrown over the bus, hit a pine tree, severing it approximately 10 feet up from the bottom, before it crashed into the garage of a  house. The plane was an estimated 10-11 feet off the ground traveling at approximately 120 - 150 knots during final impact. Several other members of the group were inside the bus but were not hurt. The pilot,  Andrew Aycock's medical certificate (3rd class) had expired, making his pilots license invalid. All three aboard, Rhoads, Rachel Youngblood, the groups hairdresser and the pilot were killed. Poor judgement by the pilot in buzzing the bus and misjudging clearance of obstacles.",March,1982,19,28.810823,-81.8778582
230,c 14:00,English Channel,Military - U.S. Army Air Forces,"Twinwood, England - Villacoublay, France",UC-64A Noorduyn Norseman,3   (passengers:2  crew:1),3   (passengers:2  crew:1),"Disappeared over the English Channel en route from Bedford England to Paris, France. Band leader and musician Glenn Miller, 40, killed along with flight officer John Morgan and Lt. Colonel Norman Baessell. It has been theorized the plane may have been hit by bombs being jettisoned over the English Channel by RAF bombers on their way home from an unsuccessful raid. Wreckage and bodies were never found. The most accepted explanation is the pilot was not instrument rated and flew into worsening weather conditions and possibly carburetor icing caused an engine failure causing the plane to crash into the English Channel.",December,1944,15,49.87052,-2.46126243624721
895,06:00,North Pacific Ocean,Private - Facilities Management Co.,Honolulu - San Francisco,Douglas C-54A-10-DC,9   (passengers:6  crew:3),9   (passengers:6  crew:3),"Disappeared while en route, 1,120 nm W of San Francisco, after the pilot reported he had a bad fire in the No. 2 engine.",March,1964,28,30.0,-170.0
2282,17:00,"Lagos, Nigeria",Aviation Development Corporation,Port Harcourt - Lagos,Boeing B-727-231,143   (passengers:134  crew:9),143   (passengers:134  crew:9),The plane crashed mid-way along its scheduled 50 minute route. The aircraft went into a roll and lost control after taking evasive action to avoid another aircraft. The plane was flying almost at the speed of sound when it crashed and disintegrated. ATC error. The controller thought he had cleared to aircraft to FL100 but the aircraft was still flying at FL240.,November,1996,7,6.4550575,3.3941795
860,19:35,"Ashgabat, Turkmenistan",Aeroflot,Krasnovodsk - Ashgabat,Ilyushin IL-18V,54   (passengers:43  crew:11),12   (passengers:4  crew:8),Crashed 200 m short of the runway threshold in a dust storm.  The plane broke apart and caught fire. Crew error. Attempted to land below weather minimums.,March,1963,5,37.9396678,58.3874263
1040,00:58,"Calcutta, India",Pan American World Airways,Bangkok - Karachi,Boeing B-707-321C,63   (passengers:53  crew:10),6   (passengers:5  crew:1),"Crashed  1,200 meters short of the runway and hit a tree and caught fire in heavy rain on a night approach. Improper IFR operation. Misused or failed to use flaps. Descended below decision height. The aircraft was named ""Clipper Caribbean.""",June,1968,12,22.5677459,88.3476023
525,02:28,"Off Fethiye Point, Turkey",Air France,Rome - Beirut,Lockheed L- 749A Constellation,42   (passengers:34  crew:8),4   (passengers:4  crew:0),The No. 3 engine broke away from the aircraft following severe vibrations causing loss of control of the No. 4 engine and necessitating a ditching 1.5 miles from the coast. Failure in flight of a propeller blade. Four passengers drowned.,August,1953,3,36.6235423,29.1171664
1433,c 07:20,"El Yopal, Colombia",Taxi Aereo el Venado,Villavicencio - Cucuta,Douglas C-47DL,32   (passengers:27  crew:5),32   (passengers:27  crew:5),The No. 1 engine failed and the plane crashed and burned when the left wing dropped and touched the runway.,October,1976,25,5.3356662,-72.3936931
104,c 19:30,"Off Channel Islands, Jersey",Guernsey Airways,Guernsey - Jersey,Saro Cloud,7   (passengers:6  crew:1),7   (passengers:6  crew:1),Crashed into the sea. Possible loss of all engines necessitating a ditching at sea.,July,1936,31,,
1712,04:00,"Near Hunghae, South Korea",Military - U.S. Marine Corps,Pohang - Kannung,Sikorsky CH-53D,29   (passengers:?  crew:?),29   (passengers:?  crew:?),Crashed into a wooded mountainside while flying VFR. Pilot error.,March,1984,24,,
2115,16:56,"Leeward Point Airfield, Guantanamo Bay, Cuba",American International Airways,"Norfolk, VA - Guantanamo, Cuba",McDonnell Douglas DC-8-61,3   (passengers:0  crew:3),0   (passengers:0  crew:0),"The plane crashed 1/4 of a mile short of the runway, while on approach. Impaired judgment, decision making and flying abilities of the captain and flight crew due to the effects of fatigue.",August,1993,18,,
1107,22:25,"Stockholm, Sweden",Spantax,Stockholm - Zurich,Convair CV-990-30A-5,10   (passengers:7  crew:3),5   (passengers:5  crew:0),"The plane developed trouble in the No. 4 engine and the takeoff was aborted and the plane returned to the gate.  It was decided to continue the ferry flight to Zurich on three engines.  As the aircraft started its take-off roll the nose yawed to the right. This was corrected by retarding no.1 engine power. The aircraft rotated at 134kts with 27deg. Flaps. While climbing, the aircraft banked 4 to 6 degrees to the right and the airspeed dropped to 10kts below V2. The plane then contacted some tree tops, banked 10 to 15 degrees and crashed. Unexpected early loss of external visual reference after take-off and loss of directional control during transition from visual to instrument flying. Windshear.",January,1970,5,59.3251172,18.0710935
2356,10:20,"Near Longtiang, Laos",Military - Lao People's Liberation Army Air Force,Vientiane - Xiang Khoang,Yakovlev YAK-40,26   (passengers:20  crew:6),26   (passengers:20  crew:6),"The aircraft struck a jungle covered mountain at 1,800m, after making a premature descent to land during a heavy rainstorm.",May,1998,25,,
1620,12:31,"Batagay, Russia",Aeroflot,Batagay - 	Lazo,Antonov An-2TP,12   (passengers:10  crew:2),12   (passengers:10  crew:2),Crashed into a mountainside. Icing.,April,1981,28,67.654907,134.635071
635,17:19,"Blyn, Washington",Alaska Airlines,Fairbanks - Seattle,Douglas C-54B,5   (passengers:2  crew:3),5   (passengers:2  crew:3),"Crashed into a densly wooded mountain, 3 miles east of Blyn, while en route to Seattle. Navigation error and poor judgement by the pilot in entering an overcast mountainous area at too low an altitude.",March,1957,2,48.0216921,-123.0057095
1394,c 05:30,"Near Al Qaysumah, Saudi Arabia",Middle East Airlines,Beirut - Dubai,Boeing B-720B-023B,82   (passengers:67  crew:15),82   (passengers:67  crew:15),The aircraft broke-up at FL 370 and crashed in the desert. Detonation of an explosive device in the forward cargo compartment.,January,1976,1,,
912,13:09Z,"Rome, Italy",Trans World Airlines,Rome - Athens,Boeing B-707-331,73   (passengers:62  crew:11),50   (passengers:45  crew:5),The captain decided to abort the takeoff after the No. 4 engine pressure ratio read zero thrust and the amber warning light indicating thrust reversal of No. 2 engine came on. The speed was below V1. The aircraft continued to travel past the runway limit and the No. 4 engine struck a steam roller. The aircraft burst into flames. Malfunction of the No. 2 engine reverse thruster. The malfunction allowed in the development of forward thrust by No. 2 engine even though all four levers were in the reverse position.,November,1964,23,41.894802,12.4853384
975,00:47,"Near Ljubljana, Slovenia, Yugoslavia",Britannia Airways,Luton - Ljubljana,Bristol Britannia 102,117   (passengers:110  crew:7),98   (passengers:92  crew:6),The plane crashed into forest during a landing attempt at Ljubljana Airport. The crew's failure to follow proper landing procedures. Improperly set altimeter. Captain failed to adjust his altimeter (he remained on QNH instead of changing to QFE) and the crew failed to cross-check altimeters.,September,1966,1,,
235,16:58,"Morgantown, West Virginia",Pennsylvania Central Airlines,Pittsburgh - Morgantown,Douglas DC-3,20   (passengers:17  crew:3),20   (passengers:17  crew:3),"The aircraft crashed against the slope of Cheat Mountain at 2,100 ft., 7 miles east northeast of Morgantown. The action of the pilot in continuing flight over mountainous terrain under instrument conditions, below the minimum authorized instrument altitude.",April,1945,14,39.6296809,-79.9559437
1614,114:20,"Avalon, California",Helicopter - Air Taxi,"San Pedro, CA - Avalon, CA",Sikorsky S-62A,8   (passengers:7  crew:1),2   (passengers:2  crew:0),The main rotor disk failed from a fatigue fracture while attempting to land.,February,1981,22,33.34221,-118.3272612
129,c 17:30,"Kasperske Hory, Czechoslovakia",Air France,Bucharest - Vienna - Prague - Paris,Wibault 283-T12,3   (passengers:1  crew:2),3   (passengers:1  crew:2),"The plane was 10 minutes from landing at Vienna when it was told to change course by the Prague airport controller. The change took the plane into mountainous terrain in snowy conditions. The plane impacted Hutska Hora mountain at an alitiude of 3,300 feet. The cause was never determined. Possibly a naviational error or for political reasons.",December,1937,24,,
2620,14:15,"Masai Mara Game Reserve, Kenya",Eagle Aviation,Ol Kiombo - Mombasa,Let 410UVP-E20,20   (passengers:18  crew:2),1   (passengers:0  crew:1),The plane crashed after developing engine trouble while flying from one airstrip to another in the Masai Mara National Reserve. The copilot was the only fatality.,November,2002,28,,
